编号,范围,单位,默认值,数据类型,属性,保留,模式
241,0~8,NA,0,U16,RW,N,
242,0~8,NA,0,U16,RW,N,
243,0~8,NA,0,U16,RW,N,
244,0~360,NA,0,U16,RW,N,
245,0~65535,NA,0,U16,RW,N,
246,0~8,NA,0,U16,RW,N,
247,0~360,NA,0,U16,RW,N,
248,0~65535,NA,0,U16,RW,N,
249,0~1,NA,0,U16,RW,N,
250,0~1,NA,0,U16,RW,N,
251,0~1,NA,0,U16,RW,N,
252,0~1,NA,0,U16,RW,N,
253,0~1,NA,0,U16,RW,N,
254,0~1,NA,0,U16,RW,N,
255,0~1,NA,0,U16,RW,N,
256,0~65535,NA,0,U16,RW,N,
257,0~65535,NA,0,U16,RW,N,
258,0~65535,NA,0,U16,RW,N,
259,0~65535,NA,0,U16,RW,N,
260,0~65535,NA,0,U16,RW,N,
261,0~65535,NA,0,U16,RW,N,
262,0~65535,NA,0,U16,RW,N,
263,0~65535,NA,0,U16,RW,N,
264,0~65535,NA,0,U16,RW,N,
265,0~65535,NA,0,U16,RW,N,
266,0~65535,NA,0,U16,RW,N,
267,0~65535,NA,0,U16,RW,N,
268,0~65535,NA,0,U16,RW,N,
269,0~65535,NA,0,U16,RW,N,
270,0~65535,NA,0,U16,RW,N,
271,0~65535,NA,0,U16,RW,N,
272,0~65535,NA,0,U16,RW,N,
273,0~65535,NA,0,U16,RW,N,
274,0~65535,NA,0,U16,RW,N,
275,0~65535,NA,0,U16,RW,N,
276,0~65535,NA,0,U16,RW,N,
277,0~65535,NA,0,U16,RW,N,
278,0~65535,NA,0,U16,RW,N,
279,0~65535,NA,0,U16,RW,N,
280,0~65535,NA,0,U16,RW,N,
281,0~65535,NA,0,U16,RW,N,
282,0~65535,NA,0,U16,RW,N,
283,0~65535,NA,0,U16,RW,N,
284,0~65535,NA,0,U16,RW,N,
285,0~65535,NA,0,U16,RW,N,
286,0~65535,NA,0,U16,RW,N,
287,0~65535,NA,0,U16,RW,N,
288,0~65535,NA,0,U16,RW,N,
289,0~65535,NA,0,U16,RW,N,
290,0~65535,NA,0,U16,RW,N,
291,0~65535,NA,0,U16,RW,N,
292,0~65535,NA,0,U16,RW,N,
293,0~65535,NA,0,U16,RW,N,
294,0~65535,NA,0,U16,RW,N,
295,0~65535,NA,0,U16,RW,N,
296,0~65535,NA,0,U16,RW,N,
297,0~65535,NA,0,U16,RW,N,
298,0~65535,NA,0,U16,RW,N,
299,0~65535,NA,0,U16,RW,N,
300,0~65535,NA,0,U16,RW,N,
301,0~65535,NA,0,U16,RW,N,
302,0~65535,NA,0,U16,RW,N,
303,0~65535,NA,0,U16,RW,N,
304,0~65535,NA,0,U16,RW,N,
305,0~65535,NA,0,U16,RW,N,
306,0~65535,NA,0,U16,RW,N,
307,0~65535,NA,0,U16,RW,N,
308,0~65535,NA,0,U16,RW,N,
309,0~65535,NA,0,U16,RW,N,
310,0~65535,NA,0,U16,RW,N,
311,0~65535,NA,0,U16,RW,N,
312,0~65535,NA,0,U16,RW,N,
313,0~65535,NA,0,U16,RW,N,
314,0~65535,NA,0,U16,RW,N,
315,0~65535,NA,0,U16,RW,N,
316,0~65535,NA,0,U16,RW,N,
317,0~65535,NA,0,U16,RW,N,
318,0~65535,NA,0,U16,RW,N,
319,0~65535,NA,0,U16,RW,N,
320,0~65535,NA,0,U16,RW,N,
321,0~65535,NA,0,U16,RW,N,
322,0~65535,NA,0,U16,RW,N,
323,0~65535,NA,0,U16,RW,N,
324,0~65535,NA,0,U16,RW,N,
